Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Duracao,Status_Evento
RWF6G80,Manutenção Campo Grande,14/07/2025 08:06,06/08/2025 11:19,23d 3h 13m,Saiu da cerca
SYL5J47,Manutenção Campo Grande,16/07/2025 12:13,01/08/2025 15:41,16d 3h 28m,Saiu da cerca
SYL5J47,SCANIA PBL,16/07/2025 12:36,01/08/2025 15:18,16d 2h 42m,Saiu da cerca
SYD5G03,Manutenção Campo Grande,26/07/2025 07:48,04/08/2025 10:23,9d 2h 35m,Saiu da cerca
SYD5G49,Oficina JSL,27/07/2025 11:17,04/08/2025 11:42,8d 0h 25m,Saiu da cerca
JDO4D13,Agua Clara,29/07/2025 02:17,01/08/2025 07:37,3d 5h 20m,Saiu da cerca
SYD5G62,Oficina JSL,29/07/2025 10:42,01/08/2025 09:57,2d 23h 14m,Saiu da cerca
SYD5G10,Oficina JSL,30/07/2025 19:27,31/07/2025 20:18,1d 0h 51m,Saiu da cerca
SYD5G00,Oficina JSL,31/07/2025 01:28,01/08/2025 12:29,1d 11h 1m,Saiu da cerca
SYD5G54,Oficina JSL,31/07/2025 05:24,01/08/2025 22:17,1d 16h 53m,Saiu da cerca
SYD5G32,Oficina JSL,31/07/2025 07:27,31/07/2025 20:54,13h 27m,Saiu da cerca
SYD5G24,Oficina JSL,31/07/2025 08:57,31/07/2025 20:07,11h 9m,Saiu da cerca
SYD5G21,Descarga Inocencia,31/07/2025 14:12,31/07/2025 20:50,6h 38m,Saiu da cerca
SYD5G21,Terminal Inocencia,31/07/2025 14:19,31/07/2025 20:46,6h 27m,Saiu da cerca
SYD5G21,Patio Carregado INO,31/07/2025 14:19,31/07/2025 20:06,5h 46m,Saiu da cerca
SYD5G05,Descarga Inocencia,31/07/2025 15:49,31/07/2025 23:36,7h 47m,Saiu da cerca
SYD5G05,Terminal Inocencia,31/07/2025 15:55,31/07/2025 23:34,7h 39m,Saiu da cerca
SYD5G05,Patio Carregado INO,31/07/2025 15:55,31/07/2025 22:45,6h 49m,Saiu da cerca
SYD5G27,Terminal Inocencia,31/07/2025 15:57,31/07/2025 20:03,4h 6m,Saiu da cerca
SYD5G27,Descarga Inocencia,31/07/2025 15:57,31/07/2025 20:07,4h 10m,Saiu da cerca
SYD5G38,Descarga Inocencia,31/07/2025 16:22,31/07/2025 19:59,3h 37m,Saiu da cerca
SYD5F92,Terminal Inocencia,31/07/2025 16:56,01/08/2025 01:04,8h 8m,Saiu da cerca
SYD5F92,Patio Carregado INO,31/07/2025 16:56,01/08/2025 00:47,7h 51m,Saiu da cerca
SYD5F92,Descarga Inocencia,31/07/2025 16:56,01/08/2025 01:18,8h 21m,Saiu da cerca
SYL4A18,Descarga Inocencia,31/07/2025 17:04,31/07/2025 20:11,3h 6m,Saiu da cerca
SYL4A18,Terminal Inocencia,31/07/2025 17:09,31/07/2025 20:08,2h 59m,Saiu da cerca
SYD5G67,Terminal Inocencia,31/07/2025 17:09,31/07/2025 20:03,2h 53m,Saiu da cerca
SYD5G67,Descarga Inocencia,31/07/2025 17:09,31/07/2025 20:05,2h 56m,Saiu da cerca
SYE7D11,Descarga Inocencia,31/07/2025 17:27,31/07/2025 22:30,5h 2m,Saiu da cerca
SYE4C10,Descarga Inocencia,31/07/2025 17:30,31/07/2025 20:46,3h 16m,Saiu da cerca
SYE4C10,Terminal Inocencia,31/07/2025 17:31,31/07/2025 20:21,2h 50m,Saiu da cerca
SYE7D11,Terminal Inocencia,31/07/2025 17:34,31/07/2025 22:28,4h 53m,Saiu da cerca
SYE7D11,Patio Carregado INO,31/07/2025 17:34,31/07/2025 20:10,2h 35m,Saiu da cerca
SYD5G52,Descarga Inocencia,31/07/2025 17:51,31/07/2025 22:32,4h 40m,Saiu da cerca
SMH0F11,Descarga Inocencia,31/07/2025 17:51,31/07/2025 20:33,2h 41m,Saiu da cerca
RWB3C06,Terminal Inocencia,31/07/2025 17:57,31/07/2025 20:27,2h 30m,Saiu da cerca
RWB3C06,Patio Carregado INO,31/07/2025 17:57,31/07/2025 19:43,1h 45m,Saiu da cerca
RWB3C06,Descarga Inocencia,31/07/2025 17:57,31/07/2025 20:32,2h 35m,Saiu da cerca
SYE7D13,Terminal Inocencia,31/07/2025 17:58,01/08/2025 19:02,1d 1h 3m,Saiu da cerca
SYE7D13,Patio Carregado INO,31/07/2025 17:58,31/07/2025 22:06,4h 7m,Saiu da cerca
SYE7D13,Descarga Inocencia,31/07/2025 17:58,01/08/2025 19:06,1d 1h 7m,Saiu da cerca
SYD5G52,Terminal Inocencia,31/07/2025 18:00,31/07/2025 22:16,4h 16m,Saiu da cerca
SYD5G52,Patio Vazio INO,31/07/2025 18:00,31/07/2025 21:53,3h 53m,Saiu da cerca
SMH0F11,Terminal Inocencia,31/07/2025 18:07,31/07/2025 20:28,2h 21m,Saiu da cerca
SMH0F11,Patio Carregado INO,31/07/2025 18:07,31/07/2025 19:45,1h 38m,Saiu da cerca
SYD5F93,Terminal Inocencia,31/07/2025 18:09,31/07/2025 20:24,2h 14m,Saiu da cerca
SYD5F93,Patio Vazio INO,31/07/2025 18:09,31/07/2025 19:58,1h 48m,Saiu da cerca
SYD5F93,Descarga Inocencia,31/07/2025 18:09,31/07/2025 20:26,2h 16m,Saiu da cerca
SYD5G25,Terminal Inocencia,31/07/2025 18:24,31/07/2025 20:29,2h 5m,Saiu da cerca
SYD5G25,Descarga Inocencia,31/07/2025 18:24,31/07/2025 20:53,2h 28m,Saiu da cerca
SYE7D10,Descarga Inocencia,31/07/2025 18:38,31/07/2025 21:39,3h 1m,Saiu da cerca
SYD5G61,Descarga Inocencia,31/07/2025 18:37,31/07/2025 20:50,2h 12m,Saiu da cerca
SYD5G61,Terminal Inocencia,31/07/2025 18:43,31/07/2025 20:46,2h 3m,Saiu da cerca
SYD5F99,Descarga Inocencia,31/07/2025 18:53,31/07/2025 20:53,2h 0m,Saiu da cerca
SYD5G22,Agua Clara,31/07/2025 18:59,31/07/2025 20:10,1h 10m,Saiu da cerca
SYD5G22,PA AGUA CLARA,31/07/2025 19:03,31/07/2025 20:04,1h 0m,Saiu da cerca
SYD5F99,Terminal Inocencia,31/07/2025 18:58,31/07/2025 20:53,1h 54m,Saiu da cerca
SYD5F99,Patio Carregado INO,31/07/2025 18:58,31/07/2025 20:42,1h 43m,Saiu da cerca
QUA0J34,Descarga Inocencia,31/07/2025 19:04,31/07/2025 21:39,2h 34m,Saiu da cerca
SYD5G53,Terminal Inocencia,31/07/2025 18:59,31/07/2025 21:19,2h 20m,Saiu da cerca
SYD5G53,Patio Carregado INO,31/07/2025 18:59,31/07/2025 20:33,1h 34m,Saiu da cerca
SYD5G53,Descarga Inocencia,31/07/2025 18:59,31/07/2025 21:21,2h 22m,Saiu da cerca
SYD5G56,Descarga Inocencia,31/07/2025 19:07,31/07/2025 21:32,2h 25m,Saiu da cerca
SYD5G58,Carregamento Fabrica RRP,31/07/2025 19:12,31/07/2025 20:03,51m,Saiu da cerca
SYD5G06,Descarga Inocencia,31/07/2025 19:07,31/07/2025 21:23,2h 15m,Saiu da cerca
SMG5F48,Terminal Inocencia,31/07/2025 19:08,31/07/2025 21:27,2h 18m,Saiu da cerca
SMG5F48,Patio Carregado INO,31/07/2025 19:08,31/07/2025 20:42,1h 34m,Saiu da cerca
SMG5F48,Descarga Inocencia,31/07/2025 19:08,31/07/2025 21:29,2h 20m,Saiu da cerca
SYD5G56,Terminal Inocencia,31/07/2025 19:12,31/07/2025 21:30,2h 17m,Saiu da cerca
SYD5G56,Patio Carregado INO,31/07/2025 19:12,31/07/2025 20:48,1h 35m,Saiu da cerca
SYD5G06,Terminal Inocencia,31/07/2025 19:13,31/07/2025 21:23,2h 9m,Saiu da cerca
SYD5G06,Patio Carregado INO,31/07/2025 19:13,31/07/2025 21:05,1h 51m,Saiu da cerca
SYD5G48,Carregamento Fabrica RRP,31/07/2025 19:20,31/07/2025 19:58,38m,Saiu da cerca
SYD5G20,Posto Mutum,31/07/2025 19:18,31/07/2025 20:25,1h 6m,Saiu da cerca
SYD5F91,Terminal Inocencia,31/07/2025 19:15,31/07/2025 21:40,2h 25m,Saiu da cerca
SYD5F91,Patio Carregado INO,31/07/2025 19:15,31/07/2025 20:52,1h 37m,Saiu da cerca
SYD5F91,Descarga Inocencia,31/07/2025 19:15,31/07/2025 22:08,2h 53m,Saiu da cerca
GBJ0J68,Agua Clara,31/07/2025 19:24,01/08/2025 04:09,8h 44m,Saiu da cerca
QTQ0F44,Agua Clara,31/07/2025 19:29,31/07/2025 19:59,30m,Saiu da cerca
SYD5F96,Buffer frotas ,31/07/2025 19:34,31/07/2025 20:12,37m,Saiu da cerca
SYE7D16,Buffer frotas ,31/07/2025 19:35,31/07/2025 21:42,2h 6m,Saiu da cerca
SYD5G58,Enlonamento RRP,31/07/2025 19:42,31/07/2025 20:03,21m,Saiu da cerca
SYD5G44,Descarga Inocencia,31/07/2025 19:37,01/08/2025 05:59,10h 22m,Saiu da cerca
SYD5G27,Patio Carregado INO,31/07/2025 19:43,31/07/2025 20:03,19m,Saiu da cerca
SYD5F93,Descarga INO,31/07/2025 19:43,31/07/2025 20:13,29m,Saiu da cerca
SMG9D17,Carregamento Fabrica RRP,31/07/2025 19:44,31/07/2025 20:30,45m,Saiu da cerca
SYD5F89,Terminal Inocencia,31/07/2025 19:38,31/07/2025 21:49,2h 11m,Saiu da cerca
SYD5F89,Patio Carregado INO,31/07/2025 19:38,31/07/2025 21:07,1h 28m,Saiu da cerca
SYD5F89,Descarga Inocencia,31/07/2025 19:38,31/07/2025 21:49,2h 11m,Saiu da cerca
SYD5G34,Buffer frotas ,31/07/2025 19:46,31/07/2025 20:11,24m,Saiu da cerca
SYE7D12,Buffer frotas ,31/07/2025 19:47,31/07/2025 20:09,22m,Saiu da cerca
SYD5G44,Terminal Inocencia,31/07/2025 19:41,31/07/2025 22:36,2h 55m,Saiu da cerca
SYD5G44,Patio Carregado INO,31/07/2025 19:41,31/07/2025 22:09,2h 28m,Saiu da cerca
SMG9D17,Carregamento RRp,31/07/2025 19:48,31/07/2025 20:09,20m,Saiu da cerca
SYD5G02,Descarga Inocencia,31/07/2025 19:43,31/07/2025 22:32,2h 48m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 19:49,31/07/2025 20:26,36m,Saiu da cerca
SMG9B17,Abastecimento Frotas RRP,31/07/2025 19:50,31/07/2025 20:07,17m,Saiu da cerca
SMG9B17,Pro LOG,31/07/2025 19:50,31/07/2025 20:07,17m,Saiu da cerca
SYE7D10,Terminal Inocencia,31/07/2025 19:45,31/07/2025 20:01,16m,Saiu da cerca
SYE7D10,Patio Carregado INO,31/07/2025 19:45,31/07/2025 20:01,16m,Saiu da cerca
SYE4C10,Descarga INO,31/07/2025 19:51,31/07/2025 20:33,42m,Saiu da cerca
SYE4C10,Patio Vazio INO,31/07/2025 19:51,31/07/2025 20:07,15m,Saiu da cerca
SYD5G25,Descarga INO,31/07/2025 19:50,31/07/2025 20:29,39m,Saiu da cerca
SYD5G25,Patio Vazio INO,31/07/2025 19:50,31/07/2025 20:21,31m,Saiu da cerca
SYD5G67,Patio Carregado INO,31/07/2025 19:56,31/07/2025 20:03,6m,Saiu da cerca
SYL4A18,Desc. INO,31/07/2025 19:41,31/07/2025 19:59,17m,Saiu da cerca
SYD5G61,Descarga INO,31/07/2025 19:52,31/07/2025 20:34,42m,Saiu da cerca
SYD5G61,Patio Vazio INO,31/07/2025 19:52,31/07/2025 20:24,32m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 19:59,31/07/2025 20:03,4m,Saiu da cerca
SYL4A18,Descarga INO,31/07/2025 19:57,31/07/2025 19:59,2m,Saiu da cerca
SYL4A18,Patio Vazio INO,31/07/2025 19:59,31/07/2025 20:06,7m,Saiu da cerca
SYD5G02,Terminal Inocencia,31/07/2025 19:45,31/07/2025 22:17,2h 31m,Saiu da cerca
SYD5G02,Patio Carregado INO,31/07/2025 19:45,31/07/2025 21:29,1h 43m,Saiu da cerca
RWB3C06,Descarga INO,31/07/2025 19:43,31/07/2025 20:04,21m,Saiu da cerca
RWB3C06,Patio Vazio INO,31/07/2025 19:43,31/07/2025 19:58,15m,Saiu da cerca
SYD5G01,Agua Clara,31/07/2025 20:02,31/07/2025 20:55,53m,Saiu da cerca
RWB3C06,Desc. INO,31/07/2025 19:58,31/07/2025 20:04,6m,Saiu da cerca
SYD5G48,Carregamento Fabrica RRP,31/07/2025 20:04,31/07/2025 20:06,2m,Saiu da cerca
SYD5G58,Buffer frotas ,31/07/2025 20:05,31/07/2025 20:45,40m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:05,31/07/2025 20:09,3m,Saiu da cerca
SYD5G65,Abastecimento Frotas RRP,31/07/2025 20:04,31/07/2025 20:13,9m,Saiu da cerca
SYD5G65,Pro LOG,31/07/2025 20:05,31/07/2025 20:13,8m,Saiu da cerca
SYD5G21,Descarga INO,31/07/2025 20:06,31/07/2025 20:41,35m,Saiu da cerca
SYD5G21,Patio Vazio INO,31/07/2025 20:06,31/07/2025 20:28,22m,Saiu da cerca
SYD5G48,Buffer frotas ,31/07/2025 20:06,31/07/2025 20:23,17m,Saiu da cerca
RWB3C06,Patio Carregado INO,31/07/2025 20:04,31/07/2025 20:27,23m,Saiu da cerca
SMH0F11,Descarga INO,31/07/2025 19:45,31/07/2025 20:10,24m,Saiu da cerca
SMH0F11,Patio Vazio INO,31/07/2025 19:45,31/07/2025 19:56,10m,Saiu da cerca
SYD5G24,Oficina JSL,31/07/2025 20:09,31/07/2025 20:11,2m,Saiu da cerca
SMH0F11,Desc. INO,31/07/2025 19:56,31/07/2025 20:10,13m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:09,31/07/2025 20:11,1m,Saiu da cerca
SYD5G51,Carregamento RRp,31/07/2025 20:10,31/07/2025 20:22,11m,Saiu da cerca
SMH0F11,Patio Carregado INO,31/07/2025 20:10,31/07/2025 20:28,18m,Saiu da cerca
SMG9D17,Enlonamento RRP,31/07/2025 20:11,31/07/2025 20:12,0m,Saiu da cerca
SMG9B17,Buffer frotas ,31/07/2025 20:07,31/07/2025 20:09,2m,Saiu da cerca
SMG9B17,Carregamento Fabrica RRP,31/07/2025 20:12,31/07/2025 20:58,46m,Saiu da cerca
SMG9B17,Enlonamento RRP,31/07/2025 20:12,31/07/2025 20:20,8m,Saiu da cerca
SYD5G33,Agua Clara,31/07/2025 20:13,31/07/2025 20:25,12m,Saiu da cerca
SYD5G65,Carregamento Fabrica RRP,31/07/2025 20:13,31/07/2025 21:14,1h 0m,Saiu da cerca
FOW8J57,Terminal Inocencia,31/07/2025 20:09,31/07/2025 22:32,2h 23m,Saiu da cerca
FOW8J57,Patio Carregado INO,31/07/2025 20:09,31/07/2025 21:54,1h 45m,Saiu da cerca
FOW8J57,Descarga Inocencia,31/07/2025 20:09,31/07/2025 22:34,2h 25m,Saiu da cerca
SYD5G37,Oficina JSL,31/07/2025 20:15,31/07/2025 22:57,2h 41m,Saiu da cerca
SYD5G24,Abastecimento Frotas RRP,31/07/2025 20:15,31/07/2025 20:27,11m,Saiu da cerca
SYD5G24,Pro LOG,31/07/2025 20:15,31/07/2025 20:27,11m,Saiu da cerca
SMG9E17,Agua Clara,31/07/2025 20:09,31/07/2025 20:27,17m,Saiu da cerca
SYD5G65,Enlonamento RRP,31/07/2025 20:18,31/07/2025 20:18,0m,Saiu da cerca
SYD5F93,Desc. INO,31/07/2025 19:58,31/07/2025 20:15,17m,Saiu da cerca
SYD5F93,Descarga INO,31/07/2025 20:15,31/07/2025 20:16,1m,Saiu da cerca
SYD5F93,Patio Vazio INO,31/07/2025 20:15,31/07/2025 20:16,1m,Saiu da cerca
SYD5F93,Patio Carregado INO,31/07/2025 20:16,31/07/2025 20:24,7m,Saiu da cerca
SYD5G35,Abastecimento Frotas RRP,31/07/2025 20:19,31/07/2025 20:29,10m,Saiu da cerca
SYD5G35,Pro LOG,31/07/2025 20:19,31/07/2025 20:29,10m,Saiu da cerca
SYE7D11,Descarga INO,31/07/2025 20:10,31/07/2025 20:48,38m,Saiu da cerca
SYE7D11,Patio Vazio INO,31/07/2025 20:10,31/07/2025 20:31,21m,Saiu da cerca
SMG9B17,Carregamento RRp,31/07/2025 20:20,31/07/2025 20:37,17m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:22,31/07/2025 20:24,2m,Saiu da cerca
SYD5G51,Enlonamento RRP,31/07/2025 20:23,31/07/2025 20:26,2m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:26,31/07/2025 20:36,10m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:21,01/08/2025 06:02,9h 40m,Saiu da cerca
SYE4C10,Desc. INO,31/07/2025 20:07,31/07/2025 20:21,14m,Saiu da cerca
SYD5G57,Abastecimento Frotas RRP,31/07/2025 20:27,31/07/2025 20:37,9m,Saiu da cerca
SYD5G57,Pro LOG,31/07/2025 20:28,31/07/2025 20:37,8m,Saiu da cerca
SYD5G24,Carregamento Fabrica RRP,31/07/2025 20:28,31/07/2025 21:36,1h 7m,Saiu da cerca
SYD5G24,Enlonamento RRP,31/07/2025 20:28,31/07/2025 20:36,7m,Saiu da cerca
SYD5G26,Agua Clara,31/07/2025 20:29,01/08/2025 01:20,4h 51m,Saiu da cerca
SYD5G35,Carregamento Fabrica RRP,31/07/2025 20:29,31/07/2025 21:44,1h 14m,Saiu da cerca
SYE4C10,Terminal Inocencia,31/07/2025 20:24,31/07/2025 20:41,16m,Saiu da cerca
SYD5G35,Enlonamento RRP,31/07/2025 20:30,31/07/2025 20:42,12m,Saiu da cerca
SMG9D17,Buffer frotas ,31/07/2025 20:31,01/08/2025 03:22,6h 50m,Saiu da cerca
SYD5G25,Desc. INO,31/07/2025 20:21,31/07/2025 20:29,8m,Saiu da cerca
SYD5G16,Agua Clara,31/07/2025 20:28,31/07/2025 20:43,15m,Saiu da cerca
SYD5G01,PA AGUA CLARA,31/07/2025 20:33,31/07/2025 20:55,22m,Saiu da cerca
SYD5G53,Descarga INO,31/07/2025 20:33,31/07/2025 21:15,42m,Saiu da cerca
SYD5G53,Patio Vazio INO,31/07/2025 20:33,31/07/2025 20:45,11m,Saiu da cerca
SYE4C10,Patio Carregado INO,31/07/2025 20:33,31/07/2025 20:41,7m,Saiu da cerca
SYD5G25,Descarga INO,31/07/2025 20:31,31/07/2025 20:35,3m,Saiu da cerca
SYD5G25,Terminal Inocencia,31/07/2025 20:31,31/07/2025 20:47,15m,Saiu da cerca
SYD5G25,Desc. INO,31/07/2025 20:31,31/07/2025 20:35,3m,Saiu da cerca
SYD5G25,Patio Vazio INO,31/07/2025 20:35,31/07/2025 20:45,10m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 20:36,31/07/2025 20:45,8m,Saiu da cerca
SYD5G26,PA AGUA CLARA,31/07/2025 20:37,01/08/2025 01:20,4h 43m,Saiu da cerca
SYD5G61,Desc. INO,31/07/2025 20:24,31/07/2025 20:34,9m,Saiu da cerca
SMG6H57,Agua Clara,31/07/2025 20:38,31/07/2025 20:55,17m,Saiu da cerca
SYD5G61,Patio Vazio INO,31/07/2025 20:34,31/07/2025 20:46,11m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:38,31/07/2025 20:52,13m,Saiu da cerca
SMG9B17,Enlonamento RRP,31/07/2025 20:38,31/07/2025 20:58,20m,Saiu da cerca
SYD5G21,Desc. INO,31/07/2025 20:28,31/07/2025 20:41,13m,Saiu da cerca
SYD5G57,Carregamento Fabrica RRP,31/07/2025 20:40,31/07/2025 21:53,1h 13m,Saiu da cerca
SYD5G21,Patio Vazio INO,31/07/2025 20:41,31/07/2025 20:46,4m,Saiu da cerca
SYD5G15,Descarga Inocencia,31/07/2025 20:43,01/08/2025 06:04,9h 20m,Saiu da cerca
SMG5F48,Descarga INO,31/07/2025 20:42,31/07/2025 21:10,27m,Saiu da cerca
SMG5F48,Patio Vazio INO,31/07/2025 20:42,31/07/2025 20:46,3m,Saiu da cerca
QUA0J34,Descarga INO,31/07/2025 20:42,31/07/2025 21:12,29m,Saiu da cerca
QUA0J34,Terminal Inocencia,31/07/2025 20:42,31/07/2025 21:39,56m,Saiu da cerca
QUA0J34,Patio Vazio INO,31/07/2025 20:42,31/07/2025 21:01,19m,Saiu da cerca
SYD5G57,Enlonamento RRP,31/07/2025 20:45,31/07/2025 20:47,2m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 20:46,31/07/2025 20:49,2m,Saiu da cerca
SYD5G57,Carregamento RRp,31/07/2025 20:47,31/07/2025 20:49,2m,Saiu da cerca
SYD5G51,Buffer frotas ,31/07/2025 20:49,31/07/2025 21:14,25m,Saiu da cerca
SYD5F90,Agua Clara,31/07/2025 20:48,31/07/2025 20:57,9m,Saiu da cerca
SYE7D11,Desc. INO,31/07/2025 20:31,31/07/2025 20:48,16m,Saiu da cerca
SYE7D11,Patio Vazio INO,31/07/2025 20:48,31/07/2025 20:50,1m,Saiu da cerca
SYE7D11,Patio Carregado INO,31/07/2025 20:50,31/07/2025 22:28,1h 37m,Saiu da cerca
SYE7D14,Agua Clara,31/07/2025 20:51,31/07/2025 20:59,8m,Saiu da cerca
